Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
19/03/2026 11:39,3-1256,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 11:39,3-1256,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
19/03/2026 11:39,3-1256,Sale,,10001,Cappuccino,,,2.000,7.60,0.00,7.60,0.00,7.60,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 18:38,3-1255,Sale,,10132,Taxi coffee,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 17:12,3-1254,Sale,,10209,Soup + toastie,,,1.000,7.95,0.00,7.95,0.00,7.95,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 17:11,3-1253,Sale,,10083,Latte,,,2.000,7.60,0.00,7.60,0.00,7.60,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 17:11,3-1253,Sale,,10000,Crisps,,,1.000,1.50,0.00,1.50,0.00,1.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 17:11,3-1253,Sale,,10202,Crisps,,,1.000,1.00,0.00,1.00,0.00,1.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:57,3-1252,Sale,,10209,Soup + toastie,,,1.000,7.95,0.00,7.95,0.00,7.95,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:57,3-1252,Sale,,10206,Toasties,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:57,3-1252,Sale,,10083,Latte,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:57,3-1252,Sale,,10004,Chai late,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:57,3-1252,Sale,Drinks fridge,10063,Water - sparkling,,,1.000,1.30,0.00,1.30,1.50,-0.20,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 16:23,3-1251,Sale,,10005,Hot chocolate,,Whipped cream,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 15:06,3-1250,Sale,Snacks,10180,Sausage roll,,,1.000,4.50,0.00,4.50,0.00,4.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 15:06,3-1250,Sale,,10058,Americano,,Steamed milk,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 14:17,3-1249,Sale,,10058,Americano,,,1.000,3.00,3.00,0.00,0.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 14:17,3-1248,Sale,Drinks fridge,10063,Water - sparkling,,,1.000,1.30,0.00,1.30,1.50,-0.20,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 14:03,3-1247,Sale,,10005,Hot chocolate,,,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 14:03,3-1247,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
