Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Sausage roll,10180,Snacks,21.000,94.50,0.000,0.00,0.68,93.82,28.35,65.47,69.78%,0.00
Sausage roll takeaway,10181,Snacks,23.000,138.00,0.000,0.00,0.90,137.10,0.00,137.10,100.00%,0.00
Sausage sandwich and drink,10013,No category,129.000,763.00,1.000,5.50,0.00,757.50,654.50,103.00,13.60%,0.00
Scone Savoy with drink,10122,No category,3.000,21.50,0.000,0.00,0.00,21.50,0.00,21.50,100.00%,0.00
Smokey Bacon Nuts,10135,No category,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
Soap gift,10198,Gifts,1.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
Soup + toastie,10209,No category,2.000,15.90,0.000,0.00,0.00,15.90,0.00,15.90,100.00%,0.00
Strawberries,10092,Retail food,44.000,110.00,0.000,0.00,0.00,110.00,0.00,110.00,100.00%,0.00
Sultana cake,10089,No category,10.000,26.50,0.000,0.00,0.00,26.50,25.00,1.50,5.66%,0.00
Sunday,10139,No category,2.000,15.50,0.000,0.00,0.00,15.50,0.00,15.50,100.00%,0.00
Swedish meatball,10050,No category,1.000,11.00,0.000,0.00,0.00,11.00,0.00,11.00,100.00%,0.00
Taxi can,10133,No category,37.000,51.50,0.000,0.00,0.00,51.50,0.00,51.50,100.00%,0.00
Taxi can,10004,No category,5.000,12.70,0.000,0.00,0.00,12.70,0.00,12.70,100.00%,0.00
Taxi coffee,10132,No category,79.000,228.10,0.000,0.00,0.00,228.10,0.00,228.10,100.00%,0.00
Taxi sandwich,10137,No category,32.000,202.00,0.000,0.00,0.00,202.00,0.00,202.00,100.00%,0.00
Tea,10038,No category,521.000,1513.50,4.000,11.20,15.44,1486.86,1452.60,34.26,2.30%,0.00
Tea - 1 person,10250,Hot Drinks - Tea,73.000,219.00,0.000,0.00,0.00,219.00,32.85,186.15,85.00%,0.00
Tea - 2 people,10251,Hot Drinks - Tea,7.000,35.00,0.000,0.00,0.00,35.00,5.25,29.75,85.00%,0.00
Tenner deal - 2 bacon 2 latte,10178,No category,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
Test,10006,No category,2.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
"The Full Penkey - Homemade hog’s loaf, bacon, sausage & egg",10220,Hot Baps,13.000,110.50,0.000,0.00,0.00,110.50,31.76,78.74,71.26%,0.00
Toasties,10206,No category,9.000,56.00,0.000,0.00,0.00,56.00,0.00,56.00,100.00%,0.00
